name,stars,price,marking,microbio,unsafe,quality
Globus,5,328.56,5.000,5.000,5.000,5.000
Metro Chef,5,637.77,5.000,5.000,5.000,5.000
ВкусВилл,5,637.14,5.000,5.000,5.000,5.000
Очень,5,408.14,5.000,5.000,5.000,5.000
Тунайча,5,600,5.000,5.000,5.000,5.000
Сделано в море,4,393.57,5.000,5.000,5.000,4.800
Срк,4,374.17,5.000,5.000,5.000,4.800
Русский рыбный мир,4,361.53,5.000,5.000,5.000,4.700
Aro,4,230.7,5.000,5.000,5.000,4.800
Тунгутун,4,270.7,5.000,5.000,5.000,4.800
Oyster,4,504,4.500,5.000,5.000,5.000
Русское Море (Кета),4,451.43,5.000,5.000,5.000,4.500
Мирамар,3,336.83,5.000,5.000,5.000,4.700
Авача,3,401.04,5.000,5.000,5.000,0.000
Невод,3,286.92,5.000,5.000,5.000,0.000
Курильская,3,687.2,0.000,5.000,5.000,4.800
Морской Царь,3,357.14,4.500,5.000,5.000,0.000
Русское Море (Нерка),2,516.2,1.000,5.000,5.000,4.100
Красное Золото,2,819,5.000,0.000,5.000,4.500
Меридиан,2,573.04,5.000,0.000,5.000,4.500
Очень полезная,2,691.24,5.000,0.000,5.000,4.500
Путина,2,737.96,5.000,0.000,5.000,4.500
Путина,2,464.2,5.000,5.000,5.000,0.000
Корсаков 1853,2,763.6,1.000,5.000,5.000,0.000
Сахалин Рыба,2,233.57,1.000,5.000,5.000,0.000
Форвард-С,2,708.99,5.000,0.000,5.000,4.000
Русское Море ,2,761.42,5.000,0.000,5.000,4.500
Тунгутун,2,887.77,5.000,0.000,5.000,3.500
Золото Сахалина,2,513.57,5.000,0.000,5.000,3.380
Юкра,2,753.57,5.000,0.000,5.000,3.380
Камчатское море,2,680,5.000,0.000,5.000,2.880
Каждый день,1,333.68,5.000,0.000,5.000,0.000
Макаров,1,464.3,5.000,0.000,5.000,0.000
Меридиан,1,564.2,5.000,0.000,5.000,0.000
Сахалин Рыба,0,410,0.000,0.000,5.000,2.900
Fine Life,0,343.3,5.000,0.000,5.000,5.000
Асто,0,487.77,0.000,5.000,5.000,4.500
Камчатское Море,0,510.1,1.000,0.000,5.000,0.000
Киржачский консервный завод,0,210.42,0.000,5.000,5.000,0.000
Корсаков,0,700.99,5.000,0.000,0.000,4.500
Красное Золото,0,456.3,1.000,0.000,5.000,4.800
Купец,0,292.31,5.000,0.000,0.000,0.000
Московский рыбокомбинат,0,420.94,0.000,0.000,5.000,4.500
Обкомовская,0,351,5.000,0.000,5.000,0.000
Рыбный Мир,0,351.92,5.000,0.000,5.000,4.800
Сделано в море,0,541.35,0.000,0.000,5.000,4.000
Сонико-Чумикан,0,900,0.000,0.000,0.000,3.380
Форвард-С,0,499.3,0.000,0.000,5.000,0.000
Fine Life,5,6.11,5.000,5.000,5.000,5.000
Makfa,5,10,5.000,5.000,5.000,5.000
Д (Дикси),5,7,5.000,5.000,5.000,5.000
Дон Густо,5,6,5.000,5.000,5.000,5.000
Мистраль,5,8.37,5.000,5.000,5.000,5.000
Националь,5,8,5.000,5.000,5.000,5.000
Националь,5,93.4,5.000,5.000,5.000,5.000
Пассим,5,6,5.000,5.000,5.000,5.000
Селяночка,5,5,5.000,5.000,5.000,5.000
Степь,5,9.78,NA,5.000,NA,NA
Теплые традиции,5,9.22,5.000,5.000,5.000,5.000
Prosto,4,20.78,NA,5.000,NA,NA
Еврозлак,4,10,4.800,5.000,5.000,5.000
Каждый день,4,5,4.600,5.000,5.000,5.000
Первым делом,4,4.67,4.600,5.000,5.000,5.000
Увелка,4,6.3,4.600,5.000,5.000,5.000
Продсервис,4,4.5,4.400,5.000,5.000,5.000
"То, что надо!",4,3.67,4.400,5.000,5.000,5.000
Южная Рисовая Компания,4,3.5,4.400,5.000,5.000,5.000
Ярмарка,4,11,4.400,5.000,5.000,5.000
О'кей,4,5.5,5.000,5.000,5.000,5.000
Maltagliati,4,7,4.000,5.000,5.000,5.000
Агрокультура,4,3.4,4.000,5.000,5.000,5.000
Аксиома,4,3.33,4.000,5.000,5.000,5.000
Карачиха,4,7.4,4.000,5.000,5.000,5.000
Маркет Перекресток,4,11.1,NA,5.000,NA,NA
Мистраль,4,12.56,4.800,5.000,5.000,5.000
Гудвилл,4,8.5,4.600,5.000,5.000,5.000
365 дней,4,4,3.250,5.000,5.000,5.000
Лента,4,6,4.000,5.000,5.000,5.000
Smart,4,7.4,NA,5.000,NA,NA
Super,4,10.12,NA,5.000,NA,NA
Родной продукт,4,8.1,NA,5.000,NA,NA
Globus,3,9.44,NA,5.000,NA,NA
Агро-Альянс,3,11.22,NA,5.000,NA,NA
Алтайская сказка,3,15.24,NA,5.000,NA,NA
Ашан,3,9.87,NA,5.000,NA,NA
Гудвилл,3,9.95,NA,5.000,NA,NA
Настоящая хозяйка,3,11.5,NA,5.000,NA,NA
Пассим,3,34.62,NA,5.000,NA,NA
Царь,3,31.56,NA,5.000,NA,NA
Агро-Альянс,3,7.87,4.000,0.000,0.000,0.000
На здоровье,2,9.37,NA,5.000,NA,NA
Astoria,2,16,NA,5.000,NA,NA
Каскад,2,8.4,NA,5.000,NA,NA
Victoria,1,7.65,NA,0.000,NA,NA
ВкусВилл,1,16,NA,5.000,NA,NA
Красная цена,1,6.11,NA,5.000,NA,NA
Скайфуд,0,4.8,0.000,0.000,0.000,0.000
Тугова Гора,0,5,0.000,0.000,0.000,0.000
Чистая Крупа,0,10.8,0.000,0.000,0.000,0.000
Шебекинский,0,10,0.000,0.000,0.000,0.000
Яровое поле,0,7.67,0.000,0.000,0.000,0.000
